City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,28.09,78,20,3.6,TO,1674678276
1,gold coast,-28.0,153.4333,23.47,97,53,1.54,AU,1674678044
2,eyl,7.9803,49.8164,23.49,70,8,7.65,SO,1674678277
3,tuktoyaktuk,69.4541,-133.0374,-23.0,84,75,4.63,CA,1674678277
4,morales,2.757,-76.6172,22.44,66,99,1.99,CO,1674678277
5,baykit,61.67,96.37,-34.64,100,100,0.18,RU,1674678278
6,fairbanks,64.8378,-147.7164,-22.17,78,75,0.0,US,1674678039
7,lompoc,34.6391,-120.4579,21.12,51,0,2.57,US,1674678279
8,avarua,-21.2078,-159.775,28.03,83,40,5.14,CK,1674678279
9,dong hoi,17.4833,106.6,15.71,83,100,2.24,VN,1674678280
10,comodoro rivadavia,-45.8667,-67.5,25.92,21,0,12.86,AR,1674678280
11,hithadhoo,-0.6,73.0833,27.54,74,79,5.47,MV,1674678281
12,cherskiy,68.75,161.3,-34.86,97,65,1.97,RU,1674678282
13,lebu,-37.6167,-73.65,16.94,63,0,5.97,CL,1674678283
14,surgut,61.25,73.4167,-10.9,85,40,7.15,RU,1674678082
15,qaqortoq,60.7167,-46.0333,1.15,98,100,8.28,GL,1674678283
16,port elizabeth,-33.918,25.5701,20.73,82,100,2.06,ZA,1674678284
17,havoysund,70.9963,24.6622,2.13,61,100,9.93,NO,1674678284
18,dingle,10.9995,122.6711,23.18,92,100,4.02,PH,1674678285
19,griffith,41.5284,-87.4237,1.75,94,100,3.09,US,1674678285
20,poum,-20.2333,164.0167,27.71,79,6,5.55,NC,1674678286
21,guerrero negro,27.9769,-114.0611,18.49,22,70,2.5,MX,1674678286
22,atuona,-9.8,-139.0333,25.49,78,70,6.93,PF,1674678287
23,hilo,19.7297,-155.09,26.82,69,0,2.68,US,1674678287
24,nouadhibou,20.931,-17.0347,21.99,53,71,5.66,MR,1674678288
25,abbeville,50.1,1.8333,3.98,92,100,1.86,FR,1674678288
26,cockburn town,21.4612,-71.1419,26.98,65,40,6.17,TC,1674678281
27,lorengau,-2.0226,147.2712,26.51,82,100,2.6,PG,1674678289
28,ponta do sol,32.6667,-17.1,16.35,46,1,3.81,PT,1674678290
29,rawson,-43.3002,-65.1023,26.16,17,0,5.66,AR,1674678290
30,aklavik,68.2191,-135.0107,-20.0,84,100,4.12,CA,1674678291
31,albany,42.6001,-73.9662,0.13,88,100,4.43,US,1674678291
32,mataura,-46.1927,168.8643,15.01,71,83,1.41,NZ,1674678292
33,kodiak,57.79,-152.4072,2.73,93,0,1.54,US,1674678292
34,kamenka,51.3223,42.7678,-8.68,83,7,2.79,RU,1674678293
35,chuy,-33.6971,-53.4616,27.7,50,76,6.57,UY,1674678293
36,lagoa,39.05,-27.9833,14.66,74,4,8.58,PT,1674678294
37,gazanjyk,39.2446,55.5154,-0.51,49,0,2.88,TM,1674678294
38,isabela,6.7085,121.9711,24.85,88,100,1.27,PH,1674678295
39,birin,26.8865,88.0718,8.81,66,5,2.07,NP,1674678295
40,pangnirtung,66.1451,-65.7125,-31.0,76,75,4.12,CA,1674678296
41,ushuaia,-54.8,-68.3,7.81,66,100,9.26,AR,1674678296
42,armidale,-30.5167,151.65,15.99,59,0,1.3,AU,1674678297
43,princeton,25.5384,-80.4089,28.9,66,20,4.63,US,1674678297
44,taltal,-25.4,-70.4833,22.74,73,23,2.94,CL,1674678298
45,chokurdakh,70.6333,147.9167,-33.97,100,46,1.0,RU,1674678298
46,belyy yar,53.6039,91.3903,-10.06,69,0,5.0,RU,1674678298
47,christchurch,-43.5333,172.6333,18.04,93,40,1.54,NZ,1674678134
48,quatre cocos,-20.2078,57.7625,23.94,96,100,7.27,MU,1674678299
49,jamestown,42.097,-79.2353,2.23,89,100,8.23,US,1674678300
50,jinchang,38.4953,102.1739,-10.44,42,6,1.2,CN,1674678300
51,kaitangata,-46.2817,169.8464,14.95,82,90,1.44,NZ,1674678301
52,punta arenas,-53.15,-70.9167,11.06,50,0,8.23,CL,1674678160
53,east london,-33.0153,27.9116,20.43,89,100,5.69,ZA,1674678301
54,moerai,-22.4333,-151.3333,25.97,83,7,5.7,PF,1674678303
55,busselton,-33.65,115.3333,14.27,77,0,4.02,AU,1674678304
56,kapaa,22.0752,-159.319,25.18,84,40,8.23,US,1674678306
57,sao joao da barra,-21.6403,-41.0511,27.05,84,67,5.53,BR,1674678308
58,nador,35.174,-2.9287,8.14,81,0,1.54,MA,1674678299
59,castro,-24.7911,-50.0119,25.82,60,0,3.21,BR,1674678310
60,eureka,40.8021,-124.1637,15.14,60,0,0.89,US,1674678311
61,nikolskoye,59.7035,30.7861,1.94,97,100,4.98,RU,1674678313
62,grand-santi,4.25,-54.3833,29.46,49,20,1.63,GF,1674678321
63,cabedelo,-6.9811,-34.8339,28.37,68,1,4.83,BR,1674678096
64,yumen,40.2833,97.2,-10.45,47,100,9.07,CN,1674678323
65,cape town,-33.9258,18.4232,18.84,68,0,7.15,ZA,1674678323
66,ilhabela,-23.7781,-45.3581,26.9,72,7,2.95,BR,1674678324
67,neiafu,-18.65,-173.9833,28.38,83,20,2.06,TO,1674678326
68,robertsport,6.7533,-11.3686,24.91,88,37,4.59,LR,1674678326
69,saquarema,-22.92,-42.5103,28.08,82,19,2.95,BR,1674678327
70,alta floresta,-9.8756,-56.0861,27.8,73,63,1.24,BR,1674678328
71,rikitea,-23.1203,-134.9692,26.16,78,100,7.39,PF,1674678329
72,butaritari,3.0707,172.7902,26.9,80,57,9.28,KI,1674678330
73,esperance,-33.8667,121.9,17.9,85,78,4.78,AU,1674678332
74,tuatapere,-46.1333,167.6833,15.75,59,67,2.61,NZ,1674678332
75,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1674678333
76,tasiilaq,65.6145,-37.6368,-3.91,95,100,10.45,GL,1674678334
77,kovur,14.4833,79.9833,21.0,79,10,1.07,IN,1674678334
78,gat,31.61,34.7642,14.11,76,0,1.88,IL,1674678335
79,upernavik,72.7868,-56.1549,-14.85,94,100,4.87,GL,1674678335
80,hamilton,39.1834,-84.5333,7.88,84,100,8.75,US,1674678180
81,namibe,-15.1961,12.1522,24.27,81,100,1.89,AO,1674678336
82,saint-philippe,-21.3585,55.7679,25.77,91,100,5.55,RE,1674678337
83,yerbogachen,61.2767,108.0108,-34.01,96,100,1.4,RU,1674678337
84,aykhal,66.0,111.5,-38.04,100,92,2.85,RU,1674678338
85,sitka,57.0531,-135.33,7.94,93,75,4.12,US,1674678338
86,miraflores,19.2167,-98.8083,25.54,23,0,2.69,MX,1674678338
87,vila velha,-20.3297,-40.2925,23.97,97,100,1.54,BR,1674678339
88,ilulissat,69.2167,-51.1,-2.99,80,75,2.57,GL,1674678339
89,fallon,39.4735,-118.7774,4.95,65,40,0.0,US,1674678340
90,ust-kulom,61.6864,53.6902,-3.51,93,100,6.28,RU,1674678340
91,bredasdorp,-34.5322,20.0403,17.86,65,0,3.37,ZA,1674678341
